Date,Jumlah
2020-01-22,
2020-01-23,100.0
2020-01-24,287.0
2020-01-25,493.0
2020-01-26,683.0
2020-01-27,809.0
2020-01-28,2651.0
2020-01-29,589.0
2020-01-30,2068.0
2020-01-31,1690.0
2020-02-01,2111.0
2020-02-02,4749.0
2020-02-03,3100.0
2020-02-04,4012.0
2020-02-05,3745.0
2020-02-06,3162.0
2020-02-07,3594.0
2020-02-08,2731.0
2020-02-09,3031.0
2020-02-10,2609.0
2020-02-11,2043.0
2020-02-12,418.0
2020-02-13,15152.0
2020-02-14,6528.0
2020-02-15,2143.0
2020-02-16,2183.0
2020-02-17,2035.0
2020-02-18,1882.0
2020-02-19,500.0
2020-02-20,561.0
2020-02-21,630.0
2020-02-22,1762.0
2020-02-23,382.0
2020-02-24,568.0
2020-02-25,854.0
2020-02-26,972.0
2020-02-27,1344.0
2020-02-28,1424.0
2020-02-29,1871.0
2020-03-01,2379.0
2020-03-02,1980.0
2020-03-03,2612.0
2020-03-04,2344.0
2020-03-05,2740.0
2020-03-06,3984.0
2020-03-07,4137.0
2020-03-08,3798.0
2020-03-09,4295.0
2020-03-10,4759.0
2020-03-11,7476.0
2020-03-12,6756.0
2020-03-13,13194.0
2020-03-14,10888.0
2020-03-15,11233.0
2020-03-16,14567.0
2020-03-17,15174.0
2020-03-18,17561.0
2020-03-19,27087.0
2020-03-20,29530.0
2020-03-21,32427.0
2020-03-22,34212.0
2020-03-23,42555.0
2020-03-24,41883.0
2020-03-25,51481.0
2020-03-26,60814.0
2020-03-27,63931.0
2020-03-28,69582.0
2020-03-29,56516.0
2020-03-30,65011.0
2020-03-31,78442.0
2020-04-01,86357.0
2020-04-02,82448.0
2020-04-03,84210.0
2020-04-04,60121.0
2020-04-05,71715.0
2020-04-06,74726.0
2020-04-07,68938.0
2020-04-08,82176.0
2020-04-09,87181.0
2020-04-10,86422.0
2020-04-11,75515.0
2020-04-12,118581.0
2020-04-13,71832.0
2020-04-14,84633.0
2020-04-15,78256.0
2020-04-16,94468.0
2020-04-17,87880.0
2020-04-18,78252.0
2020-04-19,76322.0
2020-04-20,76482.0
2020-04-21,76087.0
2020-04-22,82038.0
2020-04-23,82717.0
2020-04-24,83563.0
2020-04-25,83205.0
2020-04-26,70795.0
2020-04-27,70984.0
2020-04-28,75832.0
2020-04-29,77328.0
2020-04-30,83652.0
2020-05-01,88946.0
2020-05-02,78262.0
2020-05-03,73997.0
2020-05-04,77637.0
2020-05-05,79685.0
2020-05-06,90422.0
2020-05-07,89138.0
2020-05-08,90483.0
2020-05-09,84343.0
2020-05-10,75223.0
2020-05-11,76141.0
2020-05-12,85280.0
2020-05-13,84348.0
2020-05-14,95642.0
2020-05-15,95902.0
2020-05-16,93890.0
2020-05-17,78363.0
2020-05-18,89132.0
2020-05-19,95818.0
2020-05-20,105423.0
2020-05-21,105973.0
2020-05-22,107342.0
2020-05-23,104150.0
2020-05-24,93216.0
2020-05-25,88223.0
2020-05-26,92362.0
2020-05-27,102556.0
2020-05-28,119993.0
2020-05-29,121436.0
2020-05-30,135043.0
2020-05-31,102860.0
2020-06-01,100264.0
2020-06-02,122641.0
2020-06-03,111216.0
2020-06-04,138230.0
2020-06-05,133406.0
2020-06-06,129330.0
2020-06-07,111012.0
2020-06-08,103048.0
2020-06-09,125982.0
2020-06-10,137162.0
2020-06-11,136186.0
2020-06-12,127474.0
2020-06-13,133908.0
2020-06-14,131947.0
2020-06-15,124912.0
2020-06-16,143899.0
2020-06-17,143202.0
2020-06-18,143094.0
2020-06-19,180996.0
2020-06-20,185883.0
2020-06-21,93062.0
2020-06-22,142332.0
2020-06-23,168123.0
2020-06-24,171436.0
2020-06-25,179515.0
2020-06-26,192490.0
2020-06-27,176412.0
2020-06-28,168457.0
2020-06-29,152682.0
2020-06-30,183771.0
2020-07-01,215128.0
2020-07-02,204970.0
2020-07-03,202638.0
2020-07-04,189714.0
2020-07-05,186220.0
2020-07-06,168273.0
2020-07-07,209569.0
2020-07-08,215286.0
2020-07-09,224596.0
2020-07-10,232881.0
2020-07-11,212820.0
2020-07-12,192932.0
2020-07-13,194478.0
2020-07-14,221027.0
2020-07-15,229786.0
2020-07-16,244912.0
2020-07-17,237420.0
2020-07-18,235341.0
2020-07-19,211891.0
2020-07-20,208144.0
2020-07-21,243021.0
2020-07-22,275356.0
2020-07-23,279631.0
2020-07-24,283506.0
2020-07-25,249557.0
2020-07-26,211809.0
2020-07-27,234386.0
2020-07-28,263887.0
2020-07-29,270234.0
2020-07-30,281781.0
2020-07-31,287462.0
2020-08-01,246271.0
2020-08-02,230611.0
2020-08-03,206057.0
2020-08-04,265304.0
2020-08-05,275156.0
2020-08-06,286702.0
2020-08-07,282434.0
2020-08-08,265227.0
2020-08-09,232995.0
2020-08-10,233212.0
2020-08-11,265563.0
2020-08-12,275070.0
2020-08-13,290094.0
2020-08-14,307073.0
2020-08-15,249026.0
2020-08-16,210041.0
2020-08-17,212882.0
2020-08-18,259404.0
2020-08-19,277474.0
2020-08-20,271479.0
2020-08-21,261953.0
2020-08-22,263529.0
2020-08-23,202759.0
2020-08-24,228100.0
2020-08-25,245208.0
2020-08-26,281691.0
2020-08-27,287263.0
2020-08-28,283939.0
2020-08-29,260734.0
2020-08-30,219738.0
2020-08-31,264307.0
2020-09-01,266884.0
2020-09-02,281890.0
2020-09-03,285430.0
2020-09-04,301732.0
2020-09-05,273721.0
2020-09-06,228998.0
2020-09-07,217283.0
2020-09-08,246512.0
2020-09-09,285310.0
2020-09-10,304393.0
2020-09-11,316362.0
2020-09-12,288725.0
2020-09-13,248835.0
2020-09-14,267140.0
2020-09-15,280552.0
2020-09-16,304952.0
2020-09-17,315573.0
2020-09-18,326646.0
2020-09-19,293119.0
2020-09-20,255129.0
2020-09-21,259909.0
2020-09-22,284319.0
2020-09-23,311653.0
2020-09-24,320953.0
2020-09-25,330614.0
2020-09-26,286111.0
2020-09-27,246994.0
2020-09-28,261249.0
2020-09-29,282800.0
2020-09-30,324547.0
2020-10-01,319112.0
2020-10-02,329505.0
2020-10-03,297355.0
2020-10-04,260532.0
2020-10-05,311345.0
2020-10-06,316123.0
2020-10-07,349194.0
2020-10-08,359321.0
2020-10-09,360403.0
2020-10-10,355524.0
2020-10-11,289494.0
2020-10-12,290025.0
2020-10-13,319372.0
2020-10-14,380784.0
2020-10-15,406996.0
2020-10-16,410520.0
2020-10-17,372133.0
2020-10-18,331243.0
2020-10-19,374950.0
2020-10-20,388874.0
2020-10-21,439611.0
2020-10-22,482077.0
2020-10-23,493901.0
2020-10-24,456345.0
2020-10-25,358833.0
2020-10-26,483044.0
2020-10-27,468463.0
2020-10-28,521769.0
2020-10-29,551375.0
2020-10-30,571742.0
2020-10-31,472105.0
2020-11-01,439189.0
2020-11-02,548369.0
2020-11-03,565514.0
2020-11-04,492144.0
2020-11-05,619334.0
2020-11-06,623183.0
2020-11-07,599191.0
2020-11-08,490849.0
2020-11-09,509806.0
2020-11-10,570745.0
2020-11-11,624665.0
2020-11-12,640195.0
2020-11-13,660934.0
2020-11-14,587026.0
2020-11-15,490228.0
2020-11-16,525634.0
2020-11-17,602312.0
2020-11-18,622265.0
2020-11-19,653986.0
2020-11-20,674031.0
2020-11-21,592571.0
2020-11-22,498080.0
2020-11-23,534010.0
2020-11-24,590786.0
2020-11-25,617079.0
2020-11-26,589261.0
2020-11-27,695342.0
2020-11-28,607567.0
2020-11-29,495621.0
2020-11-30,506577.0
2020-12-01,614903.0
2020-12-02,640247.0
2020-12-03,690597.0
2020-12-04,696359.0
2020-12-05,642352.0
2020-12-06,543941.0
2020-12-07,534846.0
2020-12-08,630666.0
2020-12-09,665350.0
2020-12-10,1495407.0
2020-12-11,705751.0
2020-12-12,648690.0
2020-12-13,538794.0
2020-12-14,551156.0
2020-12-15,648621.0
2020-12-16,717542.0
2020-12-17,738602.0
2020-12-18,721438.0
2020-12-19,635505.0
2020-12-20,547301.0
2020-12-21,546222.0
2020-12-22,651457.0
2020-12-23,682095.0
2020-12-24,693391.0
2020-12-25,493224.0
2020-12-26,532644.0
2020-12-27,413194.0
2020-12-28,499185.0
2020-12-29,671875.0
2020-12-30,725300.0
2020-12-31,839728.0
2021-01-01,563692.0
2021-01-02,604376.0
2021-01-03,520330.0
2021-01-04,557441.0
2021-01-05,740890.0
2021-01-06,790913.0
2021-01-07,869958.0
2021-01-08,835415.0
2021-01-09,756267.0
2021-01-10,601539.0
2021-01-11,614474.0
2021-01-12,692536.0
2021-01-13,743273.0
2021-01-14,759058.0
2021-01-15,783853.0
2021-01-16,656872.0
2021-01-17,527610.0
2021-01-18,517247.0
2021-01-19,592782.0
2021-01-20,687206.0
2021-01-21,668756.0
2021-01-22,663486.0
2021-01-23,576716.0
2021-01-24,461982.0
2021-01-25,481552.0
2021-01-26,561312.0
2021-01-27,600964.0
2021-01-28,615115.0
2021-01-29,588982.0
2021-01-30,514864.0
2021-01-31,396609.0
2021-02-01,443002.0
2021-02-02,465454.0
2021-02-03,525249.0
2021-02-04,471774.0
2021-02-05,536505.0
2021-02-06,435198.0
2021-02-07,351548.0
2021-02-08,339917.0
2021-02-09,407290.0
2021-02-10,440464.0
2021-02-11,443767.0
2021-02-12,429589.0
2021-02-13,380488.0
2021-02-14,308645.0
2021-02-15,280822.0
2021-02-16,359793.0
2021-02-17,386379.0
2021-02-18,410800.0
2021-02-19,409662.0
2021-02-20,375210.0
2021-02-21,319563.0
2021-02-22,295569.0
2021-02-23,392742.0
2021-02-24,444930.0
2021-02-25,452964.0
2021-02-26,441940.0
2021-02-27,396737.0
2021-02-28,307785.0
2021-03-01,305501.0
2021-03-02,313263.0
2021-03-03,441846.0
2021-03-04,458408.0
2021-03-05,449097.0
2021-03-06,414027.0
2021-03-07,374444.0
2021-03-08,305469.0
2021-03-09,414044.0
2021-03-10,458867.0
2021-03-11,489680.0
2021-03-12,489248.0
2021-03-13,455596.0
2021-03-14,365075.0
2021-03-15,354084.0
2021-03-16,467034.0
2021-03-17,545716.0
2021-03-18,547929.0
2021-03-19,562539.0
2021-03-20,498447.0
2021-03-21,440469.0
2021-03-22,421191.0
2021-03-23,505839.0
2021-03-24,629699.0
2021-03-25,652193.0
2021-03-26,640042.0
2021-03-27,584533.0
2021-03-28,492654.0
2021-03-29,459276.0
2021-03-30,562206.0
2021-03-31,673896.0
2021-04-01,709819.0
2021-04-02,644785.0
2021-04-03,540350.0
2021-04-04,559922.0
2021-04-05,496989.0
2021-04-06,607494.0
2021-04-07,663139.0
2021-04-08,836056.0
2021-04-09,747318.0
2021-04-10,670644.0
2021-04-11,709612.0
2021-04-12,613846.0
2021-04-13,763824.0
2021-04-14,811314.0
2021-04-15,821231.0
2021-04-16,859850.0
2021-04-17,793987.0
2021-04-18,700110.0
2021-04-19,690932.0
2021-04-20,839597.0
2021-04-21,889242.0
2021-04-22,899401.0
2021-04-23,907659.0
2021-04-24,824230.0
2021-04-25,728486.0
2021-04-26,689050.0
2021-04-27,839122.0
2021-04-28,898791.0
2021-04-29,894035.0
2021-04-30,891369.0
2021-05-01,794910.0
2021-05-02,687271.0
2021-05-03,690457.0
2021-05-04,784956.0
2021-05-05,842001.0
2021-05-06,872846.0
2021-05-07,834826.0
2021-05-08,788298.0
2021-05-09,649409.0
2021-05-10,625644.0
2021-05-11,725799.0
2021-05-12,767487.0
2021-05-13,734699.0
2021-05-14,709565.0
2021-05-15,631612.0
2021-05-16,546622.0
2021-05-17,543542.0
2021-05-18,619638.0
2021-05-19,672045.0
2021-05-20,282306.0
2021-05-21,626475.0
2021-05-22,572361.0
2021-05-23,481623.0
2021-05-24,451078.0
2021-05-25,533407.0
2021-05-26,568428.0
2021-05-27,546897.0
2021-05-28,505511.0
2021-05-29,480420.0
2021-05-30,389947.0
2021-05-31,387056.0
2021-06-01,460004.0
2021-06-02,487628.0
2021-06-03,480499.0
2021-06-04,424891.0
2021-06-05,396651.0
2021-06-06,322981.0
2021-06-07,321767.0
2021-06-08,370117.0
2021-06-09,418292.0
2021-06-10,453504.0
2021-06-11,422037.0
2021-06-12,368380.0
2021-06-13,302801.0
2021-06-14,309302.0
2021-06-15,374757.0
2021-06-16,389175.0
2021-06-17,395995.0
2021-06-18,403507.0
2021-06-19,347298.0
2021-06-20,304764.0
2021-06-21,296655.0
2021-06-22,410214.0
2021-06-23,396623.0
2021-06-24,409259.0
2021-06-25,417668.0
2021-06-26,362897.0
2021-06-27,311236.0
2021-06-28,333018.0
2021-06-29,381208.0
2021-06-30,399468.0
2021-07-01,435542.0
2021-07-02,442342.0
2021-07-03,373827.0
2021-07-04,327744.0
2021-07-05,377917.0
2021-07-06,450531.0
2021-07-07,465242.0
2021-07-08,481879.0
2021-07-09,513236.0
2021-07-10,421113.0
2021-07-11,369892.0
2021-07-12,434164.0
2021-07-13,525659.0
2021-07-14,537982.0
2021-07-15,576427.0
2021-07-16,595938.0
2021-07-17,488850.0
2021-07-18,420209.0
2021-07-19,489467.0
2021-07-20,532419.0
2021-07-21,556108.0
2021-07-22,565189.0
2021-07-23,728140.0
2021-07-24,431919.0
2021-07-25,445614.0
2021-07-26,540627.0
2021-07-27,606330.0
2021-07-28,650083.0
2021-07-29,642869.0
2021-07-30,732354.0
2021-07-31,517345.0
2021-08-01,483068.0
2021-08-02,571103.0
2021-08-03,634275.0
2021-08-04,680458.0
2021-08-05,685622.0
2021-08-06,819526.0
2021-08-07,561269.0
2021-08-08,467717.0
2021-08-09,619083.0
2021-08-10,645812.0
2021-08-11,730693.0
2021-08-12,705742.0
2021-08-13,801795.0
2021-08-14,552911.0
2021-08-15,466691.0
2021-08-16,664344.0
2021-08-17,682687.0
2021-08-18,735643.0
2021-08-19,711734.0
2021-08-20,785213.0
2021-08-21,559054.0
2021-08-22,448080.0
2021-08-23,684194.0
2021-08-24,676773.0
2021-08-25,737411.0
2021-08-26,736449.0
2021-08-27,751123.0
2021-08-28,557180.0
2021-08-29,446830.0
2021-08-30,671851.0
2021-08-31,620662.0
2021-09-01,719080.0
2021-09-02,676775.0
2021-09-03,723573.0
2021-09-04,496711.0
2021-09-05,446972.0
2021-09-06,477773.0
2021-09-07,656490.0
2021-09-08,637711.0
2021-09-09,640145.0
2021-09-10,658711.0
2021-09-11,468522.0
2021-09-12,371403.0
2021-09-13,577902.0
2021-09-14,549829.0
2021-09-15,566851.0
2021-09-16,587354.0
2021-09-17,623219.0
2021-09-18,523871.0
2021-09-19,363397.0
2021-09-20,530191.0
2021-09-21,488680.0
2021-09-22,534978.0
2021-09-23,547630.0
2021-09-24,549246.0
2021-09-25,374002.0
2021-09-26,355819.0
2021-09-27,482769.0
2021-09-28,450977.0
2021-09-29,490977.0
2021-09-30,489897.0
2021-10-01,522002.0
2021-10-02,350642.0
2021-10-03,309043.0
2021-10-04,447064.0
2021-10-05,422849.0
2021-10-06,507053.0
2021-10-07,461834.0
2021-10-08,475420.0
2021-10-09,340204.0
2021-10-10,316453.0
2021-10-11,387988.0
2021-10-12,438208.0
2021-10-13,456422.0
2021-10-14,453396.0
2021-10-15,457986.0
2021-10-16,341358.0
2021-10-17,313301.0
2021-10-18,427786.0
2021-10-19,431568.0
2021-10-20,476309.0
2021-10-21,462050.0
2021-10-22,492824.0
2021-10-23,370258.0
2021-10-24,309203.0
2021-10-25,452400.0
2021-10-26,426471.0
2021-10-27,513997.0
