Date,Jumlah
2020-01-31,9370.0
2020-02-29,76096.0
2020-03-31,783348.0
2020-04-30,2412716.0
2020-05-31,2901229.0
2020-06-30,4292072.0
2020-07-31,7118656.0
2020-08-31,7941296.0
2020-09-30,8498335.0
2020-10-31,12122070.0
2020-11-30,17266494.0
2020-12-31,20356383.0
2021-01-31,19546070.0
2021-02-28,11253786.0
2021-03-31,14772312.0
2021-04-30,22542204.0
2021-05-31,19347136.0
2021-06-30,11472596.0
2021-07-31,15676958.0
2021-08-31,19894993.0
2021-09-30,16061455.0
2021-10-31,13064658.0
2021-11-30,15702891.0
2021-12-31,25614610.0
2022-01-31,90483564.0
2022-02-28,58251972.0
2022-03-31,51347034.0
2022-04-30,25217142.0
2022-05-31,16213566.0
2022-06-30,17732748.0
2022-07-31,29650733.0
2022-08-31,25713990.0
2022-09-30,14721332.0
2022-10-31,12795215.0
2022-11-30,12388536.0
2022-12-31,17219669.0
2023-01-31,10270797.0
2023-02-28,4587649.0
2023-03-31,1247911.0
